Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price,Price_per_sqft
Panvel,923.54,2.0,3.0,4.0,7.0,4.1,0,1,13391176.0,14499.833250319423
Panvel,836.05,1.0,3.0,31.0,36.0,6.5,0,0,15467881.0,18501.143472280368
Ulwe,1255.38,3.0,3.0,25.0,23.0,15.0,1,0,16797300.0,13380.25139798308
Ghansoli,298.85,4.0,4.0,24.0,30.0,0.0,1,1,6993946.0,23402.8643132006
Nerul,829.82,2.0,2.0,16.0,9.0,11.7,0,1,9486584.0,11432.098527391481
Kharghar,1449.39,3.0,3.0,29.0,2.0,20.2,0,0,16983629.0,11717.777133828713
Nerul,1376.48,4.0,3.0,0.0,39.0,2.2,1,0,19921510.0,14472.792921074044
Ghansoli,782.98,1.0,4.0,3.0,14.0,1.1,1,0,13588388.0,17354.706378196122
Panvel,903.37,2.0,3.0,12.0,16.0,9.3,0,0,10283939.0,11383.972237289261
Nerul,1221.49,2.0,3.0,15.0,6.0,2.4,1,0,11710488.0,9587.051879262213
Cbd Belapur,291.25,2.0,1.0,23.0,20.0,11.6,1,1,3407919.0,11701.009442060085
Kharghar,631.15,3.0,1.0,0.0,16.0,8.2,1,0,8036089.0,12732.455042382951
Belapur,1062.4,3.0,4.0,0.0,34.0,4.3,1,0,12221078.0,11503.273719879517
Belapur,510.74,2.0,1.0,25.0,7.0,5.8,0,1,4574620.0,8956.846927986842
Airoli,1306.0,1.0,2.0,16.0,33.0,17.5,1,1,14145458.0,10831.131699846861
Nerul,848.02,4.0,1.0,22.0,29.0,9.5,0,0,18309998.0,21591.469540812715
Ulwe,961.38,2.0,1.0,24.0,31.0,4.5,0,1,18118920.0,18846.782749797167
Kharghar,4659.0,2.0,1.0,3.0,25.0,3.3,1,1,58577976.0,12573.079201545395
Kharghar,1291.59,4.0,2.0,0.0,27.0,10.5,1,0,27584865.0,21357.292174761344
Airoli,1657.65,2.0,1.0,28.0,20.0,5.8,1,0,29584317.0,17847.14324495521
Vashi,1099.06,2.0,3.0,9.0,29.0,9.0,0,1,15256295.0,13881.221225410807
Nerul,100.87,2.0,1.0,25.0,29.0,15.2,0,0,750665.0,7441.905422821453
Panvel,757.95,4.0,3.0,2.0,5.0,8.8,0,0,15040622.0,19843.818193812254
Vashi,639.76,2.0,1.0,13.0,28.0,3.2,1,0,9532946.0,14900.815930974115
Ghansoli,1417.29,2.0,3.0,16.0,19.0,2.8,1,0,18141522.0,12800.148170099274
Vashi,1226.1,3.0,1.0,9.0,15.0,7.0,0,1,19492742.0,15898.166544327543
Cbd Belapur,1413.73,2.0,3.0,22.0,5.0,1.5,0,0,16761446.0,11856.186117575491
Kharghar,643.0,3.0,1.0,26.0,17.0,12.6,0,1,9221620.0,14341.555209953343
Ghansoli,917.83,2.0,4.0,34.0,22.0,5.2,0,1,17061797.0,18589.277970866064
Ghansoli,1123.72,3.0,3.0,32.0,5.0,3.9,1,0,18918166.0,16835.302388495355
Ulwe,1224.74,3.0,1.0,20.0,22.0,4.4,0,1,17867921.0,14589.154432777568
Airoli,689.67,2.0,1.0,26.0,24.0,8.0,0,0,6024012.0,8734.629605463482
Ulwe,670.2,1.0,4.0,30.0,29.0,0.5,0,1,7954354.0,11868.627275440167
Kharghar,558.69,2.0,1.0,0.0,22.0,5.0,0,0,7964451.0,14255.581807442408
Nerul,739.57,2.0,2.0,30.0,23.0,7.9,0,0,5861026.0,7924.910420920264
Panvel,1072.58,2.0,2.0,15.0,15.0,8.0,0,0,14144587.0,13187.4424285368
Nerul,1077.35,3.0,1.0,5.0,24.0,9.7,0,1,12604074.0,11699.145124611316
Vashi,1414.56,3.0,3.0,31.0,27.0,3.1,1,0,25942483.0,18339.613024544735
Vashi,1042.21,1.0,3.0,22.0,13.0,9.6,0,0,9687622.0,9295.26870784199
Kharghar,1052.0,3.0,3.0,16.0,26.0,14.6,0,0,16488870.0,15673.830798479088
Nerul,1406.93,1.0,1.0,13.0,11.0,1.3,1,1,19452607.0,13826.279203656188
Ghansoli,1490.43,2.0,4.0,3.0,37.0,13.3,0,0,27120156.0,18196.19572874942
Airoli,1076.46,2.0,3.0,17.0,24.0,10.8,1,0,9571962.0,8892.0740204002
Cbd Belapur,430.67,2.0,2.0,24.0,1.0,7.1,1,0,4414122.0,10249.429957972461
Ulwe,588.94,2.0,4.0,5.0,30.0,24.2,1,1,6578835.0,11170.637076782014
Belapur,1632.64,2.0,3.0,0.0,36.0,13.2,1,1,14162184.0,8674.407095256762
Ulwe,700.86,2.0,3.0,34.0,6.0,5.5,0,0,11583450.0,16527.480523927745
Panvel,896.64,2.0,4.0,4.0,8.0,14.4,0,0,7815736.0,8716.693433261957
Nerul,1253.57,3.0,2.0,24.0,9.0,9.7,0,1,16133517.0,12870.056718013355
Kharghar,1056.14,2.0,3.0,6.0,39.0,4.5,1,1,14983547.0,14187.084098699035
Belapur,1481.27,1.0,1.0,15.0,20.0,5.0,0,1,21749900.0,14683.278538011302
Airoli,1798.4,4.0,3.0,22.0,5.0,13.9,0,1,29012993.0,16132.669595195728
Panvel,520.14,4.0,1.0,2.0,13.0,3.3,1,1,8744846.0,16812.48510016534
Ghansoli,1538.56,3.0,1.0,11.0,30.0,5.8,0,1,16497191.0,10722.48791077371
Panvel,1384.37,4.0,3.0,14.0,38.0,14.3,0,0,16200360.0,11702.33391362136
Nerul,1439.54,1.0,1.0,4.0,18.0,10.0,1,0,20113544.0,13972.202231268322
Ulwe,888.88,1.0,1.0,11.0,21.0,17.0,0,0,10068604.0,11327.292772927729
Panvel,1732.83,2.0,4.0,6.0,34.0,6.6,0,0,29166551.0,16831.74402566899
Panvel,754.61,1.0,4.0,4.0,25.0,17.6,0,1,10601369.0,14048.805343157392
Vashi,554.87,3.0,4.0,9.0,28.0,13.6,1,0,6359586.0,11461.398165336024
Kharghar,571.4,2.0,1.0,9.0,26.0,6.9,0,1,9954080.0,17420.511025551277
Airoli,598.42,4.0,3.0,10.0,2.0,9.8,1,0,10695800.0,17873.399953210122
Panvel,1145.18,1.0,3.0,12.0,9.0,4.1,1,0,15829757.0,13822.942244887266
Kharghar,465.94,2.0,3.0,13.0,31.0,17.5,1,1,6238149.0,13388.309653603468
Kharghar,1372.42,2.0,4.0,28.0,18.0,9.3,0,0,24465705.0,17826.689351656198
Vashi,205.82,1.0,3.0,0.0,31.0,13.2,0,1,3031555.0,14729.156544553494
Nerul,1332.89,2.0,3.0,11.0,21.0,4.5,1,0,22398435.0,16804.41371756109
Kharghar,1053.01,4.0,2.0,11.0,8.0,4.5,1,0,22531021.0,21396.777808377887
Airoli,1836.22,3.0,4.0,8.0,31.0,11.3,0,0,29165711.0,15883.560248771933
Cbd Belapur,1186.0,4.0,3.0,24.0,11.0,23.2,1,1,20963866.0,17676.109612141652
Nerul,904.47,2.0,4.0,4.0,34.0,14.5,0,1,10511579.0,11621.810563092196
Nerul,1861.3,2.0,3.0,3.0,26.0,3.8,0,0,19755089.0,10613.597485628325
Cbd Belapur,875.6,2.0,2.0,13.0,13.0,11.5,0,1,13794402.0,15754.227957971676
Belapur,1394.12,2.0,3.0,23.0,12.0,0.9,0,0,19530680.0,14009.324878776577
Kharghar,1241.93,2.0,2.0,10.0,10.0,16.4,0,0,23921926.0,19261.89559798056
Panvel,636.04,2.0,3.0,5.0,15.0,11.9,1,0,11604674.0,18245.19527073769
Ghansoli,1224.68,2.0,3.0,25.0,13.0,10.7,1,0,19207561.0,15683.73860926936
Airoli,803.5,4.0,2.0,9.0,13.0,6.5,1,1,12903416.0,16059.01182327318
Vashi,1407.5,2.0,3.0,4.0,22.0,10.0,1,0,20314651.0,14433.14458259325
Vashi,679.93,4.0,3.0,18.0,35.0,7.1,0,0,9958093.0,14645.762063741857
Ghansoli,768.92,4.0,1.0,34.0,13.0,1.0,0,1,8496089.0,11049.37964937835
Airoli,1030.18,1.0,2.0,13.0,36.0,6.1,1,1,15157850.0,14713.787881729406
Kharghar,726.39,4.0,3.0,12.0,8.0,0.6,0,1,10606944.0,14602.271507041673
Kharghar,1532.88,2.0,3.0,26.0,37.0,18.1,0,0,14848881.0,9686.916784092688
Kharghar,527.56,2.0,3.0,28.0,34.0,3.3,1,1,8880572.0,16833.292895594815
Panvel,1325.17,2.0,3.0,12.0,2.0,8.1,0,0,14188326.0,10706.796863798607
Airoli,1278.06,2.0,2.0,25.0,2.0,7.6,0,0,12155944.0,9511.246733330205
Nerul,1421.54,2.0,2.0,15.0,9.0,6.1,0,0,15623134.0,10990.287997523812
Cbd Belapur,590.94,2.0,1.0,15.0,24.0,4.2,0,1,11306180.0,19132.534605882152
Ulwe,527.96,1.0,3.0,13.0,24.0,12.9,0,0,8383579.0,15879.193499507537
Belapur,1157.74,2.0,1.0,10.0,5.0,13.0,0,0,18244919.0,15759.081486344085
Nerul,887.83,3.0,1.0,1.0,15.0,1.1,0,1,17286419.0,19470.415507473277
Belapur,1229.53,4.0,1.0,19.0,27.0,16.7,1,1,23531357.0,19138.497637308566
Panvel,1197.64,1.0,3.0,5.0,19.0,8.5,0,1,21649917.0,18077.14922681273
Kharghar,1731.3,2.0,3.0,16.0,1.0,4.8,1,1,28349828.0,16374.878992664473
Nerul,1131.3,2.0,2.0,1.0,28.0,3.4,0,1,16156568.0,14281.41783788562
Panvel,1270.43,1.0,2.0,14.0,3.0,1.3,0,0,13248318.0,10428.215643522271
Panvel,973.15,4.0,2.0,21.0,25.0,6.4,0,0,13210398.0,13574.88362534039
Cbd Belapur,760.54,1.0,1.0,1.0,33.0,25.7,0,0,11418382.0,15013.5193415205
Vashi,973.28,1.0,4.0,14.0,12.0,1.1,0,0,17703417.0,18189.438804866022
Kharghar,672.68,4.0,3.0,25.0,35.0,9.5,1,1,13739940.0,20425.670452518287
Kharghar,711.96,3.0,3.0,34.0,10.0,6.3,0,0,7771389.0,10915.485420529243
Kharghar,955.45,1.0,1.0,0.0,9.0,9.0,1,1,13174422.0,13788.708985294887
Kharghar,1283.57,2.0,3.0,24.0,10.0,10.8,0,1,13673039.0,10652.351644242231
Ulwe,830.47,2.0,3.0,12.0,28.0,5.9,1,0,7150110.0,8609.714980673594
Airoli,841.94,1.0,4.0,30.0,30.0,11.6,1,0,13042282.0,15490.749934674679
Cbd Belapur,630.68,2.0,3.0,31.0,6.0,0.3,0,0,10395127.0,16482.411048392212
Ulwe,1081.64,2.0,1.0,23.0,9.0,15.5,0,1,14138286.0,13071.15676195407
Vashi,1301.66,1.0,1.0,16.0,35.0,7.7,1,0,16603157.0,12755.371602415376
Ghansoli,835.6,2.0,3.0,28.0,9.0,14.6,0,0,13406789.0,16044.5057443753
Nerul,891.86,2.0,3.0,17.0,21.0,10.1,0,1,11203950.0,12562.453748346154
Kharghar,1307.18,4.0,4.0,5.0,33.0,19.0,0,0,26204667.0,20046.71659603115
Nerul,1236.26,1.0,2.0,10.0,32.0,10.5,1,0,20368853.0,16476.188665814636
Cbd Belapur,968.77,3.0,2.0,2.0,39.0,19.4,1,1,17024991.0,17573.821443686324
Ulwe,674.36,1.0,2.0,18.0,12.0,10.8,0,0,12336359.0,18293.43229135773
Ghansoli,1414.75,2.0,1.0,33.0,17.0,2.4,0,0,14047009.0,9928.969075808447
Ghansoli,737.42,2.0,3.0,27.0,11.0,1.4,0,1,9690467.0,13141.041740120963
Panvel,896.28,2.0,3.0,9.0,7.0,12.9,1,1,9720795.0,10845.71227741331
Nerul,1648.95,1.0,3.0,7.0,26.0,13.6,1,0,29419393.0,17841.288698868975
Kharghar,1102.38,2.0,3.0,6.0,30.0,5.3,1,1,16689881.0,15139.861935085904
Vashi,2025.91,2.0,3.0,25.0,30.0,10.3,0,0,30209785.0,14911.711280362899
Nerul,1000.23,1.0,4.0,32.0,18.0,7.0,1,0,12528012.0,12525.131219819441
Nerul,743.26,4.0,2.0,9.0,8.0,11.7,1,1,11968200.0,16102.306057099804
Panvel,1445.83,1.0,3.0,27.0,31.0,5.6,1,0,14520988.0,10043.35779448483
Panvel,969.13,2.0,2.0,23.0,37.0,4.6,0,1,12064197.0,12448.481627851785
Kharghar,794.59,4.0,4.0,31.0,38.0,10.0,0,0,8861857.0,11152.741665513031
Ghansoli,952.15,3.0,4.0,30.0,10.0,9.9,0,0,14259865.0,14976.490048836844
Airoli,1925.9,4.0,2.0,30.0,5.0,12.1,0,0,36024231.0,18705.14097305156
Panvel,689.39,1.0,3.0,19.0,6.0,8.4,0,1,9460113.0,13722.440128229304
Panvel,4705.44,2.0,3.0,32.0,3.0,9.9,0,0,81729096.0,17369.065592165665
Panvel,277.37,4.0,3.0,3.0,18.0,8.7,1,0,5327003.0,19205.40433356167
Airoli,1075.15,3.0,1.0,22.0,2.0,8.4,0,0,19155035.0,17816.151234711433
Airoli,1257.33,2.0,2.0,18.0,34.0,4.3,0,0,22628336.0,17997.13360851964
Vashi,889.16,4.0,3.0,12.0,17.0,17.3,0,0,16013631.0,18009.841873228666
Belapur,761.16,2.0,1.0,13.0,11.0,3.9,0,1,11200907.0,14715.574911976457
Kharghar,1195.27,2.0,4.0,22.0,22.0,10.3,1,1,14458629.0,12096.538020698252
Panvel,1093.34,2.0,4.0,19.0,14.0,0.8,0,1,14605471.0,13358.58104523753
Airoli,1579.66,1.0,3.0,26.0,37.0,5.9,1,0,26383093.0,16701.754174949037
Belapur,1461.17,2.0,2.0,31.0,21.0,6.4,0,1,17364266.0,11883.809549881258
Nerul,875.21,4.0,3.0,19.0,12.0,8.3,0,1,18846356.0,21533.52452554244
Nerul,1251.98,2.0,3.0,7.0,6.0,3.7,1,0,24461920.0,19538.586878384638
Cbd Belapur,670.95,2.0,3.0,21.0,30.0,2.3,0,0,8167802.0,12173.488337431998
Ulwe,1143.55,2.0,2.0,17.0,10.0,1.4,1,0,12878418.0,11261.788290848674
Panvel,2007.74,2.0,3.0,29.0,37.0,1.0,0,0,22317934.0,11115.948280155797
Airoli,581.42,1.0,3.0,19.0,22.0,4.6,0,1,5521254.0,9496.154243060095
Nerul,1459.2,1.0,2.0,14.0,34.0,14.1,0,1,22172149.0,15194.72930372807
Panvel,122.82,4.0,1.0,33.0,7.0,1.2,0,1,824504.0,6713.10861423221
Ghansoli,1294.47,2.0,4.0,12.0,34.0,1.5,1,1,12020362.0,9285.933239086267
Panvel,1305.66,3.0,3.0,33.0,31.0,1.3,1,1,26738352.0,20478.801525665178
Belapur,918.89,2.0,1.0,8.0,34.0,5.3,0,0,15067913.0,16397.950788451282
Nerul,1124.27,2.0,3.0,14.0,6.0,11.7,0,0,12873786.0,11450.795627384881
Airoli,855.72,4.0,2.0,29.0,32.0,14.2,0,0,12988255.0,15178.159912120787
Belapur,477.91,1.0,3.0,8.0,30.0,10.5,0,0,8456886.0,17695.561925885628
Kharghar,874.44,3.0,2.0,9.0,27.0,11.3,0,0,9121895.0,10431.699144595397
Kharghar,1558.04,3.0,2.0,18.0,14.0,8.8,1,0,23830947.0,15295.465456599317
Airoli,881.7,1.0,3.0,16.0,24.0,6.4,1,0,15413988.0,17482.123171146646
Ulwe,868.51,2.0,3.0,34.0,8.0,18.8,0,1,13893854.0,15997.344878009464
Belapur,1174.9,1.0,1.0,33.0,20.0,12.6,0,1,19758446.0,16817.129968507958
Belapur,779.67,2.0,1.0,28.0,11.0,1.9,0,1,13419723.0,17212.055100234717
Kharghar,1228.72,2.0,3.0,17.0,6.0,17.9,0,0,16873551.0,13732.62500813855
Nerul,63.69,2.0,3.0,10.0,7.0,22.3,1,0,826945.0,12983.906421730257
Belapur,535.45,1.0,1.0,15.0,27.0,3.0,0,0,9638370.0,18000.50424876272
Nerul,961.52,3.0,3.0,5.0,5.0,8.7,0,0,10800945.0,11233.198477410766
Nerul,1045.79,4.0,4.0,32.0,24.0,3.3,1,0,15803253.0,15111.306285200662
Kharghar,1553.91,2.0,3.0,5.0,28.0,10.4,0,1,26246899.0,16890.874632378967
Airoli,558.05,3.0,3.0,31.0,20.0,2.8,1,0,8543312.0,15309.223187886391
Belapur,1422.05,3.0,3.0,31.0,9.0,14.9,0,0,24458392.0,17199.38961358602
Cbd Belapur,1357.0,2.0,3.0,30.0,24.0,24.0,0,1,13829085.0,10190.924834193072
Panvel,531.79,2.0,4.0,16.0,13.0,7.8,0,0,9689561.0,18220.65288929841
Vashi,527.74,2.0,3.0,14.0,26.0,5.9,0,1,8240030.0,15613.806040853451
Kharghar,1589.42,4.0,4.0,34.0,30.0,12.8,1,1,21697111.0,13650.961356972983
Ulwe,836.15,3.0,4.0,25.0,22.0,3.8,0,0,11032304.0,13194.16851043473
Cbd Belapur,1278.94,4.0,1.0,19.0,17.0,3.0,1,0,17663058.0,13810.701049306457
Panvel,2007.43,2.0,3.0,3.0,31.0,6.8,1,0,37229194.0,18545.699725519695
Nerul,1640.79,1.0,4.0,12.0,33.0,5.6,1,0,28396840.0,17306.809524680186
Nerul,1317.21,4.0,3.0,0.0,39.0,12.1,0,0,23629322.0,17938.917864273728
Panvel,1145.07,2.0,4.0,9.0,27.0,12.5,1,0,15044748.0,13138.71466373235
Nerul,643.76,2.0,3.0,18.0,22.0,12.4,1,0,10809590.0,16791.335280228657
Panvel,1389.86,2.0,3.0,33.0,1.0,6.9,0,1,18028803.0,12971.668369476063
Belapur,946.47,1.0,1.0,10.0,20.0,4.5,0,0,17769166.0,18774.146037381004
Nerul,876.84,2.0,2.0,11.0,9.0,16.2,1,0,7987349.0,9109.243419552027
Kharghar,999.63,3.0,1.0,6.0,5.0,0.4,1,0,17433573.0,17440.025809549534
Airoli,960.63,4.0,3.0,1.0,39.0,13.4,1,0,15070493.0,15688.134869825011
Panvel,877.03,2.0,3.0,33.0,8.0,8.2,0,0,14063637.0,16035.525580652886
Ulwe,1265.55,1.0,3.0,27.0,31.0,15.0,1,0,17556127.0,13872.32981707558
Panvel,1138.39,2.0,3.0,26.0,23.0,13.1,0,0,16115430.0,14156.334823742302
Ghansoli,767.45,4.0,1.0,3.0,20.0,5.8,1,1,8745115.0,11395.02899211675
Kharghar,1828.66,3.0,3.0,24.0,37.0,12.6,0,0,29966275.0,16387.012894687912
Nerul,1735.89,1.0,3.0,15.0,9.0,8.2,0,0,17306338.0,9969.720431594167
Airoli,482.53,2.0,3.0,15.0,17.0,14.9,0,0,6288204.0,13031.73688682569
Panvel,981.38,3.0,3.0,31.0,20.0,9.1,1,0,15144952.0,15432.301453055901
Kharghar,1056.02,2.0,3.0,22.0,5.0,7.7,1,0,15321051.0,14508.29624438931
Ulwe,615.94,3.0,4.0,19.0,9.0,1.2,0,1,6997419.0,11360.552975939214
Airoli,7357.02,4.0,2.0,5.0,34.0,12.0,0,0,105982175.0,14405.584734036334
Kharghar,394.16,2.0,2.0,16.0,32.0,14.2,0,1,5776653.0,14655.604323117515
Ulwe,1361.51,2.0,3.0,26.0,18.0,11.0,0,1,20204246.0,14839.586929218294
Nerul,648.29,2.0,3.0,8.0,14.0,7.6,0,1,12171003.0,18774.010088077866
Kharghar,885.46,2.0,1.0,20.0,24.0,4.6,0,1,11128948.0,12568.549680392112
Vashi,846.16,4.0,1.0,24.0,24.0,1.0,1,1,10422470.0,12317.374964545714
Vashi,1362.1,2.0,4.0,16.0,35.0,5.7,0,1,23077578.0,16942.64591439689
Belapur,883.27,2.0,3.0,0.0,32.0,22.8,0,0,10080388.0,11412.578260328099
Belapur,669.1,2.0,2.0,5.0,28.0,14.1,1,1,6201268.0,9268.073531609625
Vashi,951.22,1.0,3.0,7.0,21.0,11.5,0,0,17749031.0,18659.22814911377
Vashi,254.76,3.0,2.0,14.0,17.0,5.8,0,1,3175980.0,12466.556759302874
Kharghar,364.85,2.0,4.0,7.0,29.0,10.6,0,1,3436956.0,9420.189118815952
Panvel,1182.69,2.0,4.0,4.0,23.0,9.3,1,0,19788069.0,16731.408061284023
Ulwe,259.73,2.0,4.0,7.0,8.0,15.5,0,1,4479329.0,17246.0978708659
Ulwe,837.8,2.0,3.0,15.0,4.0,13.3,0,1,13230653.0,15792.137741704464
Kharghar,407.61,3.0,3.0,0.0,24.0,1.9,0,0,7707855.0,18909.877088393318
Cbd Belapur,735.87,3.0,3.0,31.0,36.0,7.5,1,0,13140599.0,17857.228858358132
Vashi,977.97,2.0,3.0,16.0,29.0,15.3,1,0,15758353.0,16113.329652238821
Nerul,565.98,4.0,1.0,30.0,20.0,7.3,0,0,9685385.0,17112.592317749743
Nerul,977.43,2.0,3.0,9.0,18.0,1.6,1,0,15111682.0,15460.628382595174
Cbd Belapur,764.24,1.0,1.0,24.0,4.0,10.8,1,0,10630873.0,13910.385481000732
Panvel,1304.75,3.0,2.0,33.0,20.0,5.5,0,1,16300610.0,12493.282237976624
Vashi,949.27,4.0,3.0,0.0,4.0,8.8,1,0,12081056.0,12726.680501859324
Panvel,102.39,1.0,4.0,11.0,11.0,0.1,0,0,820111.0,8009.67867955855
Kharghar,1074.34,1.0,3.0,16.0,16.0,1.5,0,0,12382782.0,11525.943369882905
Belapur,1199.42,1.0,4.0,4.0,22.0,10.0,1,1,20411572.0,17017.868636507643
Nerul,1497.37,2.0,3.0,14.0,36.0,15.1,0,0,19080915.0,12742.952643635175
Panvel,1326.31,2.0,1.0,15.0,32.0,2.1,0,1,13986799.0,10545.648453227375
Airoli,397.43,3.0,2.0,31.0,26.0,9.3,0,0,5545225.0,13952.708653096142
Airoli,524.64,2.0,4.0,26.0,11.0,2.8,0,1,5556647.0,10591.352165294298
Airoli,1005.95,2.0,4.0,9.0,29.0,14.0,0,0,13658154.0,13577.368656493862
Panvel,452.09,1.0,1.0,12.0,38.0,7.8,1,0,8429079.0,18644.69242849875
Kharghar,109.99,1.0,2.0,17.0,38.0,11.8,1,1,2098544.0,19079.407218838078
Kharghar,699.16,2.0,3.0,7.0,7.0,7.8,0,1,12902344.0,18454.064877853423
Panvel,1305.82,2.0,4.0,29.0,7.0,17.5,0,1,23140224.0,17720.837481429295
Ghansoli,578.48,1.0,4.0,29.0,27.0,25.6,0,0,9403706.0,16255.887844004978
Panvel,1689.34,3.0,3.0,1.0,12.0,1.6,1,1,32471130.0,19221.192891898612
Ghansoli,1206.05,3.0,3.0,5.0,8.0,13.8,1,0,17055571.0,14141.678205712866
Ghansoli,656.58,2.0,3.0,0.0,20.0,0.4,0,0,9330557.0,14210.845593834718
Belapur,136.06,2.0,4.0,18.0,15.0,9.0,0,1,2041349.0,15003.300014699396
Panvel,1166.66,2.0,1.0,17.0,20.0,16.1,0,1,15510673.0,13294.938542505955
Cbd Belapur,1336.72,4.0,3.0,24.0,35.0,12.3,1,0,28998176.0,21693.53043270094
Kharghar,874.35,3.0,1.0,9.0,18.0,13.5,1,1,15931046.0,18220.444901927145
Nerul,842.74,1.0,1.0,16.0,29.0,9.0,0,1,11080586.0,13148.285354913734
Ulwe,923.57,3.0,1.0,25.0,3.0,0.7,0,1,14575639.0,15781.845447556763
Ulwe,136.8,2.0,2.0,20.0,30.0,20.7,0,0,1950826.0,14260.423976608186
Nerul,765.53,2.0,2.0,31.0,23.0,12.5,0,0,11402078.0,14894.358157093779
Kharghar,669.3,3.0,3.0,10.0,6.0,2.3,0,1,11634681.0,17383.357238906323
Kharghar,771.8,4.0,4.0,12.0,19.0,16.7,1,1,11411305.0,14785.313552733869
Nerul,1108.82,1.0,3.0,23.0,9.0,13.1,1,0,12420274.0,11201.343770855505
Panvel,881.33,2.0,3.0,17.0,18.0,10.7,1,0,9815815.0,11137.502411128635
Kharghar,936.8,2.0,2.0,14.0,15.0,4.9,1,1,16875869.0,18014.37766865927
Ghansoli,802.92,3.0,3.0,12.0,26.0,5.2,0,0,9746500.0,12138.818313156979
Cbd Belapur,1979.34,2.0,2.0,18.0,23.0,8.4,1,1,18617730.0,9406.029282488102
Kharghar,420.37,2.0,3.0,13.0,13.0,7.4,0,1,5988631.0,14246.095106691724
Kharghar,7082.74,2.0,3.0,16.0,14.0,11.2,0,1,102414740.0,14459.762747185412
Cbd Belapur,1669.71,3.0,1.0,21.0,20.0,11.2,1,1,20031423.0,11996.947374094903
Nerul,164.39,1.0,2.0,18.0,17.0,3.9,0,0,1942123.0,11814.11886367784
Kharghar,1414.77,3.0,4.0,7.0,5.0,17.3,0,0,25471873.0,18004.250160803524
Panvel,875.66,3.0,3.0,22.0,1.0,9.9,1,0,17889381.0,20429.597103898774
Ghansoli,871.14,2.0,2.0,1.0,20.0,1.0,0,1,11700795.0,13431.58964115986
Vashi,1115.52,4.0,3.0,24.0,10.0,15.3,0,1,19445709.0,17431.968050774525
Nerul,1121.32,2.0,4.0,34.0,35.0,6.9,0,1,13394930.0,11945.680091320944
Panvel,1415.83,2.0,2.0,24.0,2.0,7.5,0,1,17343822.0,12249.932548399172
Cbd Belapur,1120.35,1.0,3.0,0.0,16.0,8.1,0,1,18562820.0,16568.76868835632
Ulwe,912.22,2.0,2.0,33.0,35.0,10.5,1,0,14843842.0,16272.217228300191
Belapur,848.57,2.0,4.0,9.0,3.0,5.2,0,1,12047445.0,14197.34965883781
Belapur,880.95,2.0,4.0,3.0,13.0,11.8,0,1,14239960.0,16164.322606277314
Kharghar,939.36,2.0,2.0,21.0,18.0,15.2,0,0,16973075.0,18068.764903764266
Ulwe,1218.09,2.0,1.0,11.0,21.0,12.1,0,1,15183252.0,12464.803093367485
Nerul,585.47,4.0,4.0,25.0,1.0,0.7,1,0,11052011.0,18877.160230242367
Panvel,816.09,3.0,4.0,11.0,5.0,5.6,0,0,10151582.0,12439.29223492507
Panvel,359.41,4.0,2.0,25.0,14.0,10.7,0,1,6216951.0,17297.65727163963
Vashi,987.76,2.0,3.0,25.0,38.0,10.2,0,0,13898522.0,14070.747954968818
Ghansoli,1190.85,2.0,3.0,16.0,23.0,8.4,1,0,16316427.0,13701.496410127222
Ulwe,619.88,2.0,2.0,1.0,14.0,5.0,0,0,9530411.0,15374.606375427502
Airoli,631.57,2.0,3.0,20.0,20.0,8.6,0,0,7712264.0,12211.257659483508
Belapur,906.8,2.0,3.0,3.0,8.0,4.4,0,0,14652278.0,16158.22452580503
Nerul,81.1,2.0,4.0,30.0,11.0,1.1,0,1,1239273.0,15280.801479654749
Panvel,656.74,2.0,1.0,14.0,28.0,19.4,1,0,11354182.0,17288.701769345556
Panvel,1597.84,1.0,3.0,27.0,8.0,13.6,1,0,17543059.0,10979.233840684925
Panvel,1039.78,3.0,1.0,26.0,32.0,14.3,0,1,15429296.0,14839.000557810306
Cbd Belapur,1033.78,1.0,3.0,10.0,16.0,5.6,0,1,16545580.0,16004.933351390046
Nerul,948.6,3.0,2.0,0.0,15.0,5.5,1,1,15078683.0,15895.723170988826
Cbd Belapur,1258.77,1.0,2.0,3.0,18.0,10.6,0,0,15384902.0,12222.170849321163
Nerul,963.85,2.0,4.0,26.0,34.0,16.2,0,1,8549710.0,8870.374020853867
Nerul,411.77,2.0,3.0,20.0,26.0,18.2,0,1,3483416.0,8459.61580493965
Kharghar,1471.31,2.0,1.0,15.0,4.0,11.5,1,0,15270943.0,10379.147154576534
Ulwe,1526.78,1.0,3.0,2.0,35.0,4.9,0,0,16503905.0,10809.615661719436
Nerul,756.55,2.0,3.0,28.0,10.0,13.1,0,0,9123487.0,12059.331174410152
Nerul,909.15,2.0,1.0,34.0,11.0,13.9,0,1,13407821.0,14747.644503107298
Belapur,2778.55,2.0,4.0,28.0,16.0,11.0,1,1,32389289.0,11656.903420849003
Kharghar,939.92,4.0,4.0,19.0,5.0,11.8,0,0,11886994.0,12646.814622521066
Kharghar,1655.97,2.0,3.0,19.0,36.0,24.8,1,1,29784238.0,17985.976799096603
Nerul,1747.74,1.0,1.0,24.0,17.0,6.3,0,0,21730868.0,12433.696087518738
Kharghar,1118.92,3.0,3.0,4.0,15.0,8.8,1,1,20732671.0,18529.180817216602
